Age x,n,nDx,nDxi,R^{-i},l_x,_np_x,nqx,nax,*e_x^0,*np_x^{-i},nqx_i,*l_x^{-i},ndx_i,*nax^{-i},L,T,*e_x^{-i},diff,year,sex,causa
0,1,273,1,1,1e+05,0.9891,0.0109,0.07,74.69,0.9892,0.0108,1e+05,1083.249,0.0745,98997,7631781,76.32,1.63,2019,m,Homicidio
1,4,46,1,0.98,98913,0.9982,0.0018,1.62,74.51,0.9982,0.0018,98917,178.108,1.6201,395243,7532784,76.15,1.64,2019,m,Homicidio
5,5,28,1,0.96,98731,0.999,0.001,2.5,70.65,0.999,0.001,98739,99.463,2.5,493445,7137540,72.29,1.64,2019,m,Homicidio
10,5,36,0,1,98628,0.9987,0.0013,2.5,65.72,0.9987,0.0013,98639,129.89,2.5,492871,6644096,67.36,1.64,2019,m,Homicidio
15,5,156,46,0.71,98498,0.9945,0.0055,2.5,60.8,0.9961,0.0039,98509,385.496,2.502,491584,6151225,62.44,1.64,2019,m,Homicidio
20,5,320,110,0.66,97952,0.9885,0.0115,2.5,56.13,0.9924,0.0076,98124,744.409,2.505,488762,5659641,57.68,1.55,2019,m,Homicidio
25,5,335,152,0.55,96821,0.9871,0.0129,2.5,51.75,0.9929,0.0071,97379,687.576,2.5073,485183,5170880,53.1,1.35,2019,m,Homicidio
30,5,340,141,0.59,95573,0.985,0.015,2.5,47.4,0.9912,0.0088,96692,852.29,2.5078,481335,4685697,48.46,1.06,2019,m,Homicidio
35,5,344,114,0.67,94138,0.9823,0.0177,2.5,43.08,0.9882,0.0118,95840,1135.337,2.5073,476368,4204362,43.87,0.79,2019,m,Homicidio
40,5,400,102,0.74,92476,0.9783,0.0217,2.5,38.81,0.9838,0.0162,94704,1533.765,2.507,469697,3727994,39.36,0.56,2019,m,Homicidio
45,5,428,88,0.79,90471,0.9766,0.0234,2.5,34.61,0.9814,0.0186,93170,1735.316,2.5061,461524,3258297,34.97,0.36,2019,m,Homicidio
50,5,474,51,0.89,88354,0.9711,0.0289,2.5,30.38,0.9742,0.0258,91435,2359.879,2.5039,451285,2796773,30.59,0.2,2019,m,Homicidio
55,5,582,35,0.94,85803,0.9588,0.0412,2.5,26.21,0.9613,0.0387,89075,3451.577,2.5031,436758,2345487,26.33,0.12,2019,m,Homicidio
60,5,740,15,0.98,82270,0.9355,0.0645,2.5,22.23,0.9367,0.0633,85624,5417.186,2.5017,414584,1908729,22.29,0.06,2019,m,Homicidio
65,5,860,5,0.99,76961,0.9023,0.0977,2.5,18.59,0.9028,0.0972,80206,7795.548,2.5007,381549,1494145,18.63,0.04,2019,m,Homicidio
70,5,925,8,0.99,69439,0.8661,0.1339,2.5,15.33,0.8672,0.1328,72411,9617.252,2.5015,338026,1112596,15.37,0.03,2019,m,Homicidio
75,5,1024,5,1,60142,0.8,0.2,2.5,12.32,0.8009,0.1991,62794,12501.392,2.5013,282731,774570,12.34,0.02,2019,m,Homicidio
