year,age,births,pop_fem,fx,fx5,fx5_fem
2010,15-19,8530,139346,0.0612145307364402,0.306072653682201,0.149303733503513
2010,20-24,12470,126141,0.0988576275754909,0.494288137877455,0.241116164818271
2010,25-29,11254,112070,0.100419380744178,0.502096903720889,0.244925318888238
2010,30-34,7619,105145,0.0724618384136193,0.362309192068097,0.17673619125273
2010,35-39,3222,101880,0.0316254416961131,0.158127208480565,0.0771352236490563
2010,40-44,540,90651,0.00595691167223748,0.0297845583611874,0.0145290528591158
2010,45-49,23,78963,0.000291275660752504,0.00145637830376252,0.000710428440859767
2019,15-19,5458,137193,0.0397833708716917,0.198916854358459,0.0970326118821749
2019,20-24,10042,134430,0.0747005876664435,0.373502938332218,0.182196555284009
2019,25-29,10562,127008,0.0831601158982111,0.415800579491056,0.202829550971247
2019,30-34,7436,113726,0.0653852241352022,0.326926120676011,0.159476156427322
2019,35-39,3395,104857,0.032377428307123,0.161887141535615,0.0789693373344464
2019,40-44,668,101684,0.00656937177923764,0.0328468588961882,0.0160228579981406
2019,45-49,54,96655,0.000558688117531426,0.00279344058765713,0.0013626539451986
